,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
0,saldanha,0,PT,1570626065,39,41.42,-6.55,67.73,2.57
1,mys shmidta,100,RU,1570626065,80,62.06,48.62,35.15,7.9
2,katsuura,20,JP,1570626065,63,33.93,134.5,62.6,5.82
3,alugan,100,PH,1570626066,90,12.22,125.48,77.63,3.0
4,ushuaia,40,AR,1570626066,87,-54.81,-68.31,37.4,28.86
5,albany,75,US,1570626066,87,42.65,-73.75,52.0,3.36
6,vaini,75,IN,1570626067,88,15.34,74.49,75.2,5.03
7,hermanus,58,ZA,1570626067,83,-34.42,19.24,63.0,3.0
8,bayangol,85,MN,1570626067,63,48.91,106.09,34.79,6.42
9,nanortalik,100,GL,1570626068,77,60.14,-45.24,40.91,7.29
10,busselton,100,AU,1570626068,63,-33.64,115.35,63.0,7.73
11,kapaa,75,US,1570626068,94,22.08,-159.32,75.2,9.17
12,tuktoyaktuk,94,CA,1570626068,72,69.44,-133.03,32.09,5.93
13,mar del plata,68,CN,1570626069,42,29.86,90.73,38.21,6.1
14,dudinka,9,RU,1570626069,73,69.41,86.18,19.4,6.71
15,rawdon,40,CA,1570626069,93,46.05,-73.71,48.0,2.24
16,cape town,75,CL,1570626070,93,-36.41,-71.9,55.0,11.41
17,guerrero negro,0,AR,1570626070,56,-24.19,-65.45,71.6,5.21
18,keti bandar,20,AM,1570626070,25,40.87,43.84,73.4,10.29
19,naze,75,NG,1570626070,70,5.43,7.07,86.0,4.7
20,avarua,100,CK,1570626019,64,-21.21,-159.78,71.6,6.93
21,noshiro,20,JP,1570626071,87,40.21,140.05,51.8,3.36
22,barrow,44,AR,1570626071,44,-38.31,-60.23,57.83,17.47
23,shimoda,20,JP,1570626071,63,34.7,138.93,66.2,3.36
24,tongliao,0,CN,1570626072,29,43.61,122.27,61.79,15.23
25,grand gaube,99,FR,1570626072,82,48.39,5.49,59.0,17.22
26,udachnyy,90,RU,1570626072,92,66.42,112.4,15.8,8.95
27,davidson,100,CA,1570626073,87,51.26,-105.98,27.0,5.01
28,biltine,9,TD,1570626073,30,14.53,20.93,92.57,6.94
29,airai,100,TL,1570626073,89,-8.93,125.41,63.23,4.07
30,hobart,96,AU,1570626073,70,-42.88,147.33,48.2,1.12
31,tabou,82,CI,1570626073,85,4.42,-7.36,80.33,9.29
32,mataura,100,NZ,1570626074,98,-46.19,168.86,48.99,1.99
33,hithadhoo,47,MV,1570626074,74,-0.6,73.08,83.21,10.02
34,chuy,26,UY,1570626074,65,-33.69,-53.46,63.23,5.32
35,chapais,1,CA,1570626075,100,49.78,-74.86,35.6,6.93
36,rikitea,98,PF,1570626075,76,-23.12,-134.97,68.27,10.94
37,laguna,75,BZ,1570626075,100,16.17,-88.94,75.2,2.18
38,ilulissat,20,GL,1570626051,50,69.22,-51.1,28.4,10.29
39,punta arenas,40,PH,1570626076,70,14.18,121.12,84.2,5.82
40,horadiz,0,AZ,1570626076,50,39.45,47.33,78.8,12.75
41,taltal,20,CL,1570626076,73,-25.41,-70.49,56.93,5.41
42,caravelas,29,BR,1570626076,74,-17.73,-39.27,77.99,8.68
43,viedma,67,AR,1570626077,34,-40.81,-62.99,59.09,15.73
44,pataskala,5,US,1570626077,87,40.0,-82.67,53.01,3.36
45,torbay,40,CA,1570626077,81,47.66,-52.73,51.01,17.22
46,anloga,40,GH,1570626077,83,5.79,0.9,82.4,12.75
47,richards bay,1,US,1570626077,81,46.84,-95.91,55.4,8.05
48,mahebourg,75,MU,1570626078,61,-20.41,57.7,77.0,17.22
49,port alfred,92,CD,1570626078,26,-7.04,29.76,85.73,10.63
50,namatanai,36,PG,1570626078,85,-3.66,152.44,79.61,10.56
51,yaan,63,NG,1570626079,67,7.38,8.57,85.55,4.1
52,dingle,100,PH,1570626079,91,11.0,122.67,75.83,4.0
